Você já fez compras de mercado online?,Você já desistiu de fazer uma compra online pelo aplicativo do BIG ou BIG Bompreço?,"Nessas ocasiões, o que fez você desistir da compra?",Você sentiu alguma dificuldade enquanto navegava pelo aplicativo? ,"Se sim, você sentiu dificuldade em qual parte do aplicativo?",Você tem algo a mais sobre a sua experiência para dividir conosco?,Submitted At,Token
TRUE,FALSE,,,,Sim! Que as lojas BIG está de parabéns pois acho uma excelente loja e sempre fui muito bem atendida. Pelo trabalho,10/15/2021 16:17:48,gue0o1g5p58jawk5oppgue0o1gsx4sr0
TRUE,TRUE,"O aplicativo não disponibiliza parcelamento das compras, Os preços que encontrei não foram atrativos, Não encontrei exatamente o produto que procurava",FALSE,,,10/15/2021 16:16:38,a6nrsgzds3zfea6nv8flbmy9pasyav8f
FALSE,TRUE,valor do frete,FALSE,,NA,10/15/2021 16:16:33,so2cff45akuso2jjrrhnye2exhtx1jjr
TRUE,FALSE,,,,,10/15/2021 16:16:31,g61ebloyu2jl2p8379zjzd8g61ebldn0
TRUE,FALSE,,,,"Gosto de comprar on line ,mas uma situação me chateou bastante, dos produtos que comprei 1 item foi retirado e o valor não foi reembolsado .",10/15/2021 16:18:03,w5xtykc1rydj6xai5mw5xtyi4yknwrlb
TRUE,FALSE,,,,Só informar que a quantidade comprada não foi entregue na totalidade por falta do produto,10/15/2021 16:17:23,963wa5h6z6ghhglo17wh963wa5hjpl7l
TRUE,TRUE,Os preços que encontrei não foram atrativos,FALSE,,,10/15/2021 16:17:19,e9axm8vi3q90ojl36e9ar9jgr17hjikb
TRUE,FALSE,,,,,10/15/2021 16:16:43,ee3a8gnj0xflxvezxzdgee3a8gn2fqm3
TRUE,FALSE,,,,"Receber mais informativos sobre promoções por App, email...",10/15/2021 16:18:14,80aaas9ljbqh4qz80aanvh7y5w5sgelw
FALSE,TRUE,Não encontrei exatamente o produto que procurava,FALSE,,,10/15/2021 16:17:50,95vcurh1yxbytkzxgy5o95vcurhy0ioe
FALSE,FALSE,,,,,10/15/2021 16:17:38,o5hva4gp52116x7m22o2o5hvam02eqc8
TRUE,FALSE,,,,,10/15/2021 16:17:55,ix8k8x4ivq0c39q2b5ix8k8xy180l3yz
FALSE,TRUE,Não consegui navegar bem pelas categorias do aplicativo,TRUE,Listagem de produtos,A melhor coisa a se aprimorar nesse app são as opções de filtro,10/15/2021 16:19:21,te7007hdd62jzlfn93lrte70073kljn5
TRUE,TRUE,"O aplicativo não possui o método de pagamento que eu gostaria, Valor mínimo de compra é muito alto",FALSE,,,10/15/2021 16:19:04,pezhthpj3f24nnutpezh255wl2h1t58n
FALSE,TRUE,Não confio no aplicativo para inserir meus dados de pagamento,FALSE,,O preço de você está um pouco acima dos outro mercados em torno de 15 a 20 % a mais o único produto que realmente compensa compra e o sabao omo,10/15/2021 16:21:37,lzea3hsqdyc662wa1vp06ilzea3hoeea
TRUE,TRUE,"Vc compra e a compra é  cancelada , por 3 vezes aconteceu comigo",FALSE,,Não entregam o pedido,10/15/2021 16:21:59,gxf6nv3mlrm9h91ah7gxi44vaoez6hks
TRUE,FALSE,,,,Preços melhores,10/15/2021 16:19:34,l2tbr7vf4zhox3aukihml2tbr7vlph2k
TRUE,TRUE,Promoção divulgada não funcionou,FALSE,,Alguns produtos que é adicionado ao carrinho na finalização da compra informa que acabou.,10/15/2021 16:24:23,6p5kuiou5pbtf60xd26p5kuz2vg7r164
TRUE,TRUE,Não consegui ver o desconto do item no carrinho,FALSE,,"Sempre acompanho as promoções, só não vejo no carrinho o preço c desconto. Posso estar fazendo algo errado.",10/15/2021 16:20:45,7r6rung7bhpylv64wtr7r6rp1vhyq73l
TRUE,TRUE,Os preços que encontrei não foram atrativos,TRUE,Na procura de alguns itens/marcas que nao constavam,,10/15/2021 16:20:13,oglpyfzuk1hnoo1urpnzoglpy3w318js
TRUE,TRUE,Promoção divulgada não funcionou,FALSE,,,10/15/2021 16:20:57,agupmg9dfgz1mqvc69n0p8agupmg9xt8
FALSE,FALSE,,,,"Não achei o aplicativo pratico, tenho dificuldade com preços, e tb vejo q os básicos nunca estão em ofertas",10/15/2021 16:21:12,vlzh59tyjyhouhhvlzhkc2874x2lipcy
TRUE,TRUE,Não consegui navegar bem pelas categorias do aplicativo,TRUE,Listagem de produtos,,10/15/2021 16:20:04,sts8pjepj4kmp31ksts81irpx3zq7q3b
TRUE,TRUE,"Os preços que encontrei não foram atrativos, O aplicativo é muito lento",TRUE,"Login ou cadastro, Tela de pagamento","No geral foi satisfatório, pode melhorar? Sim, tenho comprado no big pelo ifood que é um pouco mais simples",10/15/2021 16:24:10,ztbww9hjybnwlnyqwztbww95ll1ww9w6
TRUE,TRUE,"Os preços que encontrei não foram atrativos, O aplicativo não possui o método de pagamento que eu gostaria, Promoção divulgada não funcionou, Não consegui ver o desconto do item no carrinho",TRUE,Página inicial,Quando aplicamos o desconto e falta o produto não recebemos o desconto sobre aquele item aplicado nos itens que tem para entrega,10/15/2021 16:21:58,6zra9y0g6v6a3f6zr42if40t2c76hv8m
TRUE,FALSE,,,,As opções de ativar cupons são muito boas,10/15/2021 16:21:01,ewrgvpm4w7yqei1wisu3ewrgvpus88pk
TRUE,FALSE,,,,já comprei pelo app e chegando em loja para retirar não tinha o produto e a compra não tinha sido cancelada,10/15/2021 16:22:01,6airmrghd1wm56aii0tp011xndnavdaa
TRUE,FALSE,,,,Gostei muito de comprar com vcs,10/15/2021 16:22:12,5stjplepdgng57g4qm5stjple96q6l57
TRUE,TRUE,Promoção divulgada não funcionou,FALSE,,"Boa tarde foi tudo maravilhoso só que deixei de comprar Danone,Piza pois os produtos não entraram o descontos mas fora isso vcs são os melhores que já comprei e olha que compro bastante kkkkk",10/15/2021 16:27:01,4lq26rr8rjx0eu74lq262v3e9owmiemq
FALSE,TRUE,"Não encontrei exatamente o produto que procurava, Os preços que encontrei não foram atrativos, Promoção divulgada não funcionou",FALSE,,,10/15/2021 16:23:03,xi9ifkkap3kkazkucxi9ifnid0xzp7uy
TRUE,TRUE,"O aplicativo não possui o método de pagamento que eu gostaria, Prazo de entrega muito demorado",FALSE,,,10/15/2021 16:24:05,d6fouglgjekghucog0d6fou7qd0s45zj
TRUE,TRUE,Os preços que encontrei não foram atrativos,FALSE,,,10/15/2021 16:23:21,0vw0fga0j6nevo1u6oy0vw0fgafl06zy
TRUE,TRUE,"Não consegui ver o desconto do item no carrinho, O aplicativo não possui o método de pagamento que eu gostaria, Os preços que encontrei não foram atrativos, Promoção divulgada não funcionou",TRUE,Página inicial,"Quando o desconto for dado no total da compra e faltar algum item na hora da entrega, o desconto do item que faltou deveria ser inserido nos itens que tem disponivel para entrega.",10/15/2021 16:24:04,wzm2zhs4zmmnzteawzm2t4lccmcdtu02
TRUE,TRUE,"Não encontrei exatamente o produto que procurava, Os preços que encontrei não foram atrativos",FALSE,,"Retiraram produtos do pedido em vez de consultar pela troca de algum similar, e alguns produtos vem com prazo de validade com prazo de vencimento curto.",10/15/2021 16:28:10,nb6e4s2vfk0alape20gnb6e4s2ggcpjk
TRUE,FALSE,,,,Eu gostei da facilidade praticidade e agilidade,10/15/2021 16:23:54,mielic7g7piveymmhocmielic0jgmyz7
TRUE,TRUE,"Promoção divulgada não funcionou, Valor mínimo de compra é muito alto, Os preços que encontrei não foram atrativos",TRUE,"Listagem de produtos, Página inicial",Fiz varias compras e foram canceladas dizendo que nao tinha o produto e depois os produtos estavam disponiveis só que mais caro. Não facam isso!,10/15/2021 16:24:36,lm5heebikd7qhjx4elm5h04h1wl74kqw
TRUE,FALSE,,,,Todas as compras online no BIG foram com utilização de cupom de desconto + frete grátis,10/15/2021 16:24:31,beq4pnbjw26zd23cazbeq4pnbjy4nmmf
TRUE,TRUE,Os preços que encontrei não foram atrativos,FALSE,,Sugiro ampliação do horário de entrega,10/15/2021 16:24:39,4gq9d0bch2n524m5opb4gq9j2fma6jsw
TRUE,FALSE,,,,"Nessa vez, deu tudo certo! Na outra vez, tive problema com a entrega.",10/15/2021 16:24:28,qf9c203ovu8j73litpe60qf9c20scyju
FALSE,TRUE,Prazo de entrega muito demorado,FALSE,,Não,10/15/2021 16:26:01,uao6t36buetoti5tv0juao6t3290spb6
FALSE,FALSE,,,,"Gosto muito do app, bem funcional.... Só queria que os cupons fossem mais coerentes com as pessoas assalariadas, ao invés de cupom de 50 pra quem comprar,(sei lá)200,00, poder comprar em uma cartão alimentação ou algo similar. Mas enfim adoro o app, com suas ofertas.",10/15/2021 16:27:53,9n271yw72fdjc6g5jgx6wzvi9n271ywu
TRUE,TRUE,"Não encontrei exatamente o produto que procurava, Valor mínimo de compra é muito alto, Promoção divulgada não funcionou, Os preços que encontrei não foram atrativos, Não consegui ver o desconto do item no carrinho",TRUE,"Listagem de produtos, Carrinho, Tela de pagamento",,10/15/2021 16:25:36,7f2b7axuhe9k93zk4y7f2b7axevwxnvq
TRUE,TRUE,"Promoção divulgada não funcionou, Comprei fraldas com agendamento para entrega no dia seguinte. No dia da entrega a loja simplesmente cancelou a compro pelo fato do valor não estar mais",FALSE,,Nunca mais uso esse aplicativo,10/15/2021 16:29:05,99x85kng14631kk0bbw99x85k0fy0zlx
TRUE,FALSE,,,,Todas as minhas compras online no BIG foram com a utilização de cupom de desconto + frete grátis,10/15/2021 16:25:37,9dvgfyqyoukxrzh95p8temculrb06l1l
TRUE,FALSE,,,,,10/15/2021 16:25:43,w56uam0omlb9h2hw56uwcokcsodph0o5
TRUE,TRUE,"Etapa de pagamento complicada ou longa, Promoção divulgada não funcionou, Os preços que encontrei não foram atrativos",TRUE,Tela de pagamento,"Melhorias no chat para atendimento (inserir posição da fila) e grandes melhorias na parte de pagamento, remover cartões e gerenciamento de dados nesses momentos",10/15/2021 16:27:08,r24m0oklur679d6r24m0t3s5iq3kp0si
TRUE,TRUE,Os preços que encontrei não foram atrativos,FALSE,,Ter divugação melhorada das promoções e ter cupons individual,10/15/2021 16:28:42,5l3v91rk61nebl1mhy0v5l3v91r0d3ig
TRUE,FALSE,,,,Melhor app de compras de supermercados,10/15/2021 16:26:26,gdi2t6g8kh9oj1467nfr8gdi2tp0qsfw
TRUE,FALSE,,,,Todas as minhas compras online no BIG foram com a utilização de cupom de desconto + frete grátis,10/15/2021 16:26:26,fc6qz60wbo9ykwlw0azfc6qzrhjzrpsk
TRUE,FALSE,,,,"Somente elogios! Prático, rápido e com ótimas promoções!!!",10/15/2021 16:29:27,iafc1vn7av47quldcdiafc1lrjf5pyez
TRUE,TRUE,Não encontrei exatamente o produto que procurava,FALSE,,,10/15/2021 16:27:43,hmtsnpa8yth4m1dbh4ndhmtsn1jltyez
TRUE,TRUE,O aplicativo é muito lento,FALSE,,,10/15/2021 16:26:24,zd3eipfombeez7mhnzd3eip6m05drzlc
TRUE,TRUE,Promoção divulgada não funcionou,FALSE,,,10/15/2021 16:26:49,8vcunl1bmfhnkzast288vcux22s2r92h
TRUE,FALSE,,,,"Estou muito satisfeita porque apesar de ter tido problemas com a entrega dos produtos que comprei, que vieram faltando alguns itens nas duas compras que fiz pelo aplicativo do big você, o big mandou me entregar os produtos que faltaram na primeira compra e me ressarciu dos valores da segunda compra, então estou satisfeita com o aplicativo sim, obrigada big!",10/15/2021 16:31:42,0o4yve0orq793c9nlj0o4yvke6varjqa
TRUE,TRUE,Os preços que encontrei não foram atrativos,FALSE,,Mais promocoes,10/15/2021 16:27:05,oc45ko4hpyx5goolwt6mlo8oc45koyex
TRUE,FALSE,,,,,10/15/2021 16:26:52,vjkf6nxo38gqmvjk0yij8d152ybioshg
TRUE,TRUE,Valor mínimo de compra é muito alto,FALSE,,"As vezes encontro alguma oferta ,efetup o pagamento e depois recebo a notoficaçao de que o produto nao esta disponivel....Acharia enteresante a substituiçao do produto.Pois se colocam uma oferta e nao tem o produto ,o certo e substituir.
Obrigada",10/15/2021 16:29:55,qcrasaphtmofhnos55qcrasv1ikp8ihe
FALSE,FALSE,,,,,10/15/2021 16:27:18,i720kyzjia5ksrvao44zi720avyai3kt
TRUE,TRUE,"Não entendi o preço total da compra, O aplicativo é muito lento, Valor mínimo de compra é muito alto",TRUE,Página inicial,Não,10/15/2021 16:27:16,aiczjh5x46kpgbonaiclbm8xq4xhqgvk
FALSE,FALSE,,,,,10/15/2021 16:27:08,isvsqc8k4ywtixp285olisvsqc8kkeop
TRUE,FALSE,,,,,10/15/2021 16:26:57,3ujolt93uutoppg6a11wo3ujoltqefgc
TRUE,TRUE,Não aplicou o cupom,FALSE,,Não,10/15/2021 16:28:22,57y73alefe0t1xc57y4w1o9lwxhfvzn1
TRUE,FALSE,,,,"Recomendo muito realizar compras online pelo aplicativo. Vem tudo certinho com qualidade e você recebe todas as informações, pedindo aprovado,pedindo em separação, pedido saindo pra entrega. É TUDO comprar",10/15/2021 16:29:24,0qavdpnai51q577rr6hl0qavdpnablu5
TRUE,TRUE,"Valor mínimo de compra é muito alto, Os preços que encontrei não foram atrativos, O aplicativo não possui o método de pagamento que eu gostaria",FALSE,,"Seria ótimo se o aplicativo aceitasse os mesmos meios de pagamento das lojas físicas, porém, não aceita Vale Card Alimentação por exemplo.",10/15/2021 16:28:48,592ti4av969bvdqruf592ti4askugtqj
FALSE,FALSE,,,,Tem muitos promoção no aplicativo vale a pena mas não tive oportunidade ainda de comprar,10/15/2021 16:28:14,6uwubo0547szk6uwub20l828wuptfh78
FALSE,TRUE,"Não consegui navegar bem pelas categorias do aplicativo, Os preços que encontrei não foram atrativos, Não encontrei exatamente o produto que procurava",FALSE,,,10/15/2021 16:28:19,s7n5co0017rvbpeay8hwhy7s7n5ccpto
FALSE,FALSE,,,,Procuro preço baixo e ofertas tbm em produtos individuais,10/15/2021 16:29:11,0jgxgra0pd3b5yt9knw60jgg1ax6px6h
FALSE,FALSE,,,,,10/15/2021 16:27:44,50amn2o0067cor2nvk50am1o6ivw1q2v
FALSE,FALSE,,,,,10/15/2021 16:27:45,vkvodvbcav1ohqw3c3zvkvods0onfg24
TRUE,FALSE,,,,O produtos favoritos deveriam já ficar com o desconto ativo no APP.,10/15/2021 16:28:29,11rbl2qa0c8hx1p2uqyd11rbl49731c6
TRUE,FALSE,,,,"Nunca passei por isso, compro a anos no big, mas vou começar a repensar. No final de semana passado fiz uma compra de 300 para um churrasco, uma das carnes no valor de 82 reais veio podre.",10/15/2021 16:32:03,dwy3qejcncax9k6pnyyadwy3qeuooq9s
FALSE,TRUE,O aplicativo não atende minha região,TRUE,"O fato de não salvar o cep, e ter que informá-lo toda vez que procura uma loja",,10/15/2021 16:32:18,8awls51a94bwmo6w71tvzl8awls51cw5
TRUE,FALSE,,,,O produtos favoritos deveriam já ficar com o desconto ativo no APP.,10/15/2021 16:29:08,ut97itxovuiytaq6yws72ut97itxrynr
TRUE,TRUE,Prazo de entrega muito demorado,FALSE,,,10/15/2021 16:29:36,gczoq231g7zrx7mnjgczqrf093lkjikt
TRUE,TRUE,"Tem apenas opção de pagamento no cartão de crédito, deveria ter outras opções, inclusive débito e pagamento na entrega",FALSE,,Melhorar formas de pagamento.,10/15/2021 16:31:28,snhtsxk7gzitq9l4qgkmsnhbs3rsg8sw
TRUE,TRUE,Não encontrei exatamente o produto que procurava,FALSE,,,10/15/2021 16:30:18,wd66oku7whs572h5wd66okuhv54dmdy8
TRUE,FALSE,,,,,10/15/2021 16:30:14,f1fl7gwm62alue9tpbf1fl7ft7jvkxkh
TRUE,TRUE,"Valor mínimo de compra é muito alto, O aplicativo não disponibiliza parcelamento das compras",FALSE,,Não  deve ter compra mínima,10/15/2021 16:30:48,nvx6un320qog6g118xq2dnvx6un3ibpk
TRUE,FALSE,,,,,10/15/2021 16:30:00,u8vwuegk68c1dfnpimdu5u8vwuev81lz
TRUE,FALSE,,,,,10/15/2021 16:30:06,h55coj3uy4a22r0bbhmyh55cojfb8j8f
TRUE,TRUE,Não encontrei exatamente o produto que procurava,FALSE,,,10/15/2021 16:31:05,e2qu81av8styq3oge2quwow9niczd9iz
FALSE,TRUE,Não consegui navegar bem pelas categorias do aplicativo,TRUE,Página inicial,,10/15/2021 16:32:49,avrb0fqq4ysbpy8havrb0fran2khb9cy
TRUE,TRUE,O aplicativo não disponibiliza parcelamento das compras,FALSE,,"Achei legal a primeira vez que comprei e fui buscar, a segunda vez deu erro e não consegui comprar foi cancelado pelo aplicativo.",10/15/2021 16:32:39,blyckzcg9jo9svue2blycls2zufqyv1d
TRUE,TRUE,"Não consegui navegar bem pelas categorias do aplicativo, Prazo de entrega muito demorado, O aplicativo é muito lento",TRUE,"Ativar promoções, ver o preço e incluir no carrinho. Este processo pelo app é muito cheio de idas e voltas",,10/15/2021 16:33:14,bh4jcozbgbqgbzkoceio6nbh4jcoz886
TRUE,TRUE,O aplicativo não disponibiliza parcelamento das compras,FALSE,,"Sugiro atualização constante do estoque, pois já realizei mais de uma compra que na hora da entrega me avisam que não tem o produto.",10/15/2021 16:32:19,5sakky2lhxk63794su35sakmy26pqufp
TRUE,TRUE,O aplicativo não possui o método de pagamento que eu gostaria,FALSE,,pagar por pix,10/15/2021 16:31:18,zky2mrxrd03s3v6wqw5zky2mrxib4ylo
TRUE,TRUE,Promoção divulgada não funcionou,FALSE,,"Atualização do estoque, pois realizar a compra e não tem os produtos.",10/15/2021 16:32:42,x1n5jtstvvli6d1nbx1n5j95amama5jq
TRUE,TRUE,Não encontrei exatamente o produto que procurava,FALSE,,Acho que quando o pedido der entrada já tem que ser separado o produto e não somente no dia da entrega. Isso já fez com que os produtos que comprei estivessem em falta em 2 pedidos. Daí eu vou acabar desistindo de fazer compras pelo aplicativo.,10/15/2021 16:33:05,ia8i33wyaab52o7rcuv8oxvia8ipca0k
TRUE,TRUE,"A opção de entrega é somente das 18:00 as 22:00, o valor dos produtos estão mais baratos pelo ifood, sem contar que tinha cupons de descontos de R$40,00 no ifood",FALSE,,"Conforme falei anteriormente, no ifood tem mais opções de horário para entrega e possui cupons de descontos.",10/15/2021 16:34:43,6h2bickzkc6jz2epa16h2bickn70rtgj
TRUE,TRUE,"Não encontrei exatamente o produto que procurava, Os preços que encontrei não foram atrativos",TRUE,Listagem de produtos,Amo os cupons de desconto.,10/15/2021 16:35:10,mz0aikasj93dxnai2mz0ai7hu1faifu1
FALSE,TRUE,Os preços que encontrei não foram atrativos,TRUE,Página inicial,"Preços melhores opção de marcas de produto , atendimento melhor dos funcionários",10/15/2021 16:36:02,hwacsizjsf145n2fhwacsn1dzjx6nz5z
FALSE,FALSE,,,,Tenho receio de compras on-line pois já comprei verdura no supermercado do big e quando cheguei em casa ao abrir o pacote verifiquei que a mesma estava impropria para o consumo. Se isto acontece quando compramos o produto na gôndola imagino na compra online,10/15/2021 16:33:37,qsx1syawthxw9eaufkmuqsx1syaxcfgo
TRUE,FALSE,,,,Bom atendimento e entrega rápida.,10/15/2021 16:32:20,gptxwp1jn6h6rngp1jjzdjxfib3e7yl4
TRUE,TRUE,"Não encontrei exatamente o produto que procurava, Os preços que encontrei não foram atrativos, O aplicativo não proporciona a adição de itens após a compra.",FALSE,,Quase todas as entregas tenho problema de falta de produtos. Da última vez fui ao supermercado para resolver a questão pq o atendimento de vcs pelo telefone ou chat é bem ruim e demorado.,10/15/2021 16:34:53,97nxuf1z5dvqjwsau397y4mg9h28sc9t
FALSE,FALSE,,,,Colocar fogão pra vender pelo aplicativo,10/15/2021 16:33:22,irx8yfxjub4lvuirxknc8x2k5c3o2kmj
TRUE,FALSE,,,,,10/15/2021 16:33:15,m6igu4ad5cd300sjq06m6igujqjr8jf3
TRUE,FALSE,,,,Acho que ao filtrar após finalizado deveria voltar para tela e não ficar nos 3 pontinhos sem acabar apesar de já ter feito o filtro,10/15/2021 16:44:04,0t0dwc3uqwf1p0t0dw2ma84yyzcxm3e1
TRUE,TRUE,Os preços que encontrei não foram atrativos,FALSE,,,10/15/2021 16:33:35,pa6pypeifxm4m3g0v19kpa6pypemq5ej
TRUE,TRUE,Ok,FALSE,,Não cumpre a oferta. Péssima empresa. Não compro mais de vocês.,10/15/2021 16:36:09,pfp2aq8k9qq61pfm0fudpfp2aqc9w0o6
TRUE,FALSE,,,,Muito bom fazer compras online.,10/15/2021 16:33:54,2viu7e4dwje52uy2vie1033asyhhafc9
TRUE,TRUE,Não entendi o preço total da compra,FALSE,,nao,10/15/2021 16:35:05,14wju0t1dckqla5b14wju0rdj071ccd7
TRUE,TRUE,Os preços que encontrei não foram atrativos,FALSE,,,10/15/2021 16:34:00,7ssngvjuye7sspd9g60eyakzi0rifrul
TRUE,FALSE,,,,,10/15/2021 16:33:36,c8e1g038ie0dwvy3pc8e1g6vvq462auh
TRUE,TRUE,O aplicativo não possui o método de pagamento que eu gostaria,FALSE,,,10/15/2021 16:35:06,e5x9o6pdo3g8dt1thte5x9vwncg6jcf4
TRUE,TRUE,O aplicativo não atende minha região,FALSE,,Frete Gratis,10/15/2021 16:34:43,8guntrre5d368inlvy8gunns4cxv6w0i
FALSE,TRUE,Os preços que encontrei não foram atrativos,FALSE,,"Sem preços competitivos, vão perder vendas para os concorrentes.",10/15/2021 16:35:11,9adyqphmmcpqyt8ybos9a76wbdr50euq
FALSE,TRUE,O aplicativo é muito lento,TRUE,Login ou cadastro,Gostaria que fosse igual ao carrefour todos os cupons são ativados no caixa porque as vezes vc não pode nem consegue comprar algo com desconto e o cupom não ativa,10/15/2021 16:37:22,2pz1hul452yjvpgsda2pz1m96e0pgjbs
TRUE,TRUE,"Promoção divulgada não funcionou, Prazo de entrega muito demorado, Não consegui ver o desconto do item no carrinho, Não encontrei exatamente o produto que procurava",TRUE,"Busca por item não devolve todas as marcas, precisa ser solecionada a marca desejada no menu lateral.",Gostaria que houvessem filtros para aplicar nas buscas,10/15/2021 16:37:32,zygqyv2zg26vhdzvbgzygqyfldsbjv2g
TRUE,TRUE,Os preços que encontrei não foram atrativos,FALSE,,,10/15/2021 16:34:49,ikog8f0syhpexm5aikog8f0p2otx5hap
FALSE,TRUE,Promoção divulgada não funcionou,FALSE,,"Aconteceu algumas vezes de O mercado cancelar a compra, poderiam melhorar nesse sentido pois é muito ruim ter a compra cancelada",10/15/2021 16:36:35,lgtmaxopvqhu3r0kwixlgtmarn6ucb29
TRUE,TRUE,O aplicativo não possui o método de pagamento que eu gostaria,FALSE,,Gosto do aplicativo mas não aceita Sodexo,10/15/2021 16:35:25,zicq7jrt439anp02kfxhzicq7j4rrymx
FALSE,FALSE,,,,Fico feliz com o aplicativo,10/15/2021 16:35:36,in5ympp1eswi0iggauoba0j23vtkxe82
FALSE,FALSE,,,,não,10/15/2021 16:35:47,8tugyojegco38uz8tugg5p6qot42ka1y
FALSE,FALSE,,,,não,10/15/2021 16:36:41,n3w9mg9xb5fuqscn3w9m7xntq7b8mdvy
TRUE,TRUE,"Promoção divulgada não funcionou, Não consegui ver o desconto do item no carrinho, Não encontrei exatamente o produto que procurava",FALSE,,Nao no momento,10/15/2021 16:37:10,tnmxf0ay5ijoscqpiyctnmxfwdaxm8ts
TRUE,TRUE,A compra ficou mais compensatória pelo ifood.,FALSE,,"Na última compra pelo ifood, apresentaram produtos que comprei e não tinha e não sei se a entrega era considerada pelo ifood ou por vocês, mas até uma cerveja estourou de tamanho descuido.",10/15/2021 16:39:43,y24ct0lipscilxmuscy24cr9qa8tg6hg
TRUE,TRUE,"Os preços que encontrei não foram atrativos, Não consegui ver o desconto do item no carrinho, O aplicativo não disponibiliza parcelamento das compras",FALSE,,,10/15/2021 16:38:33,9jyxbuxvejliesw2f9jyxbux0k2lw1h5
FALSE,FALSE,,,,"Melhorou muito o big de Balneário Camboriú. Tanto na oferta de produtos, e preços, bem como do layout da loja",10/15/2021 16:38:13,ttgl69jvz405qf4ttgluelyvzmz3ag6q
TRUE,TRUE,Os preços que encontrei não foram atrativos,FALSE,,,10/15/2021 16:37:11,mfjan9z68cyx14yql0mfjawm7rjqucce
TRUE,TRUE,Por terem cancelado algumas outras compras.,FALSE,,,10/15/2021 16:38:07,0h8jv3btejp19gbb0h8jv3nv57ygcyvd
TRUE,TRUE,"O aplicativo não atende minha região, Não encontrei exatamente o produto que procurava, Promoção divulgada não funcionou",FALSE,,A entrega deveria atender mais regiões da cidade.,10/15/2021 16:39:03,ys5thhy2y6wy03fys5thbrj7bzlsmrlm
TRUE,TRUE,O aplicativo não possui o método de pagamento que eu gostaria,FALSE,,Sim. Troca de mercadoria quando a mesma estiver em falta,10/15/2021 16:39:57,n8ozkg818z79stza399n8ozkghtg4nb8
TRUE,TRUE,"Os preços que encontrei não foram atrativos, Prazo de entrega muito demorado",FALSE,,"O aplicativo é muito bom, só precisa melhorar alguns preços.",10/15/2021 16:38:54,wo7ayrw9xc3rgwgwbwo7ayrwrs3a8hjp
FALSE,FALSE,,,,,10/15/2021 16:39:07,a73s1tpyzcf3gvppa73s1tty0bekk95p
TRUE,TRUE,Frete,FALSE,,Deveria ter a opção de retirada na loja para quem não quer pagar o frete da entrega.,10/15/2021 16:40:34,c6jcdn2dck28j3sec6ja6s8dcq1aqk09
TRUE,FALSE,,,,,10/15/2021 16:39:21,ssk322fe16bg2lqajo7vtmssk322fxn6
TRUE,TRUE,"O aplicativo é muito lento, Promoção divulgada não funcionou",FALSE,,"Geralmente alguns produtos disponível no aplicativo não te entregam, geralmente os que estão com uma boa promoção.",10/15/2021 16:41:50,3gvg70y3utq3a7hugi3gvg7ihhojtgg5
TRUE,TRUE,"O aplicativo não possui o método de pagamento que eu gostaria, Valor mínimo de compra é muito alto",FALSE,,"Sim, teve uma vez que o BIG (Osasco)simplesmente no dia da entrega, cancelou meu pedido.",10/15/2021 16:43:12,0ds6xlq7ky88y14a8rknc060ds6xww8l
TRUE,TRUE,"A loja mais próxima à minha casa só me dava a opção de ir buscar as compras, não faz a entrega. Se é pra eu mesma ir buscar não faz sentido a compra online.  Se não entrega, não compro!",TRUE,Listagem de produtos,A compra se torna cansativa porque tem produtos que aparecem mais de uma vez. Vocês poderiam apresentar os produtos na ordem de preços do mais barato so mais caro.,10/15/2021 16:51:52,lshtprbpqpe9pt5diqa3lshtprbn7ggw
TRUE,TRUE,"Os preços que encontrei não foram atrativos, Valor mínimo de compra é muito alto, Não entendi o preço total da compra",FALSE,,,10/15/2021 16:41:14,6pzn8ynrp024rj80sa6pzn8ynqx6xc8u
TRUE,TRUE,"Produto comprado estaria ""indisponível"" no dia da coleta e me ofereceram um inferior como opção",FALSE,,Sim. Poderiam adicionar a opção de vale alimentação para as compras de mercado.,10/15/2021 16:44:01,3np1f4ith61rpo3npf3qbkgbemg9au0s
TRUE,TRUE,"Vocês cobram um preço na carne, mandam quantidade menor e não devolvem o dinheiro",TRUE,O aplicativo vende carne por preço por kilo.,Cai em um golpe.,10/15/2021 16:44:56,t5yzh4jcpi9tforucat5yzh445yo70y5
TRUE,TRUE,pesquisei  preço no app e depois comprei na loja física.,FALSE,,Apenas que a experiencia no app é muito boa.,10/15/2021 16:42:36,6gz8yp5r5po51u6vu2128tkj6gz8yp7z
TRUE,TRUE,Custo do delivery,FALSE,,Poderiam rever a política do valor do delivery. Entendo que a gasolina está cara mas todos estamos passando por momentos difíceis. Também as Ofertas das lojas físicas quase não aparecem no aplicativo,10/15/2021 16:43:23,2h7uo419ed7xiu6ntoy9z2h7uongq5h9
TRUE,FALSE,,,,Sempre achei ótimo o uso do aplicativo,10/15/2021 16:41:54,lza0raw64h6t4wmx0wplza0raxyjh4he
TRUE,TRUE,O aplicativo é muito lento,TRUE,Carrinho,ser mais ágil,10/15/2021 16:43:38,790rn2zjfcv3g6ivo79ijpf8qw4pcxh1
FALSE,TRUE,Não confio no aplicativo para inserir meus dados de pagamento,FALSE,,Ter descontos melhores.,10/15/2021 16:43:18,xrw0407no9vcml46xrw040a7wtslp24k
